677777772EVANS TIMOTHY A               1958071720230217380198500444849719860045001301987004798871198800469733719890049823701990004956643199100498324219920050178521993005139600199400543490519950053407621996005525474199700561264119980055619551999005799870200000587661520010059636292002005943072200300615552320040063205062005006258103200600650648420070063580992008006670295200900654896620100068732452011006915326201200686859320130069440772014007131695201500723413920160071654052017007487357201800748463320190076006782020007598928202100767350320220079154460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
688888883TURNER REBECCA B              1960051520230315260199700535683319980053739181999005610690200000562331920010058611022002005973435200300612139520040062655002005006101016200600628539220070064541142008006483325200900663796920100066811862011006782133201200684075820130070102162014007147675201500732930220160073184372017007624184201800750441820190076656192020007853367202100787535920220081274990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
666666661PHILLIPS STEPHANIE Z          1959120320230510338199000665017319910070108661992007142853199300706431219940072764501995007356330199600780209819970078592401998007768803199900800941020000080909712001008312878200200840594920030087517922004008539991200500898314520060087854972007009056710200800932236620090093610942010009469239201100960447820120098076812013009760326201400997421620150100110722016010306425201701046321020180104405222019010861776202001088442020210110350762022011244197000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
655555550GOMEZ RONALD Y                1961012020230612277199600554080219970055879871998005682529199900574861020000059400242001005918222200200598275220030062954902004006327139200500639955920060065658242007006576767200800668537520090068553382010007144467201100702093320120073365102013007306417201400729488820150076429592016007620884201700787615420180078368032019007828953202000813249820210082951322022008232098000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
711111105PARKER SHARON D               1959030720230717348198900401917419900041245541991004255784199200437330419930044517881994004571433199500463157219960046677161997004821035199800479197119990050799102000005100248200100507378320020051656282003005370219200400537948720050055058572006005487111200700569766220080056693862009005827749201000598627120110059706862012006106143201300617107320140062444682015006163137201600635682620170065615572018006598537201900667950420200067129242021006831204202200687966000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
699999994DIAZ JASON C                  1960091520230801324199100440973619920043823031993004587065199400447929219950046006911996004608674199700480908419980049948281999005021952200000506052020010051634552002005329366200300530800020040055102582005005556228200600565149520070056348522008005729679200900585931120100058484122011006026715201200598899920130061858962014006338836201500629983420160065685382017006574888201800651606720190068226282020006758758202100694799520220069164320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
888888881BAILEY VICTORIA T             1958010120240101280199600535340219970053507671998005261885199900548244620000055776762001005712513200200586666520030059912872004005901798200500624374220060062852112007006291356200800659692620090066998382010006779174201100689077520120067796872013007093197201400713199320150071968362016007208581201700751633720180075455412019007523476202000770942520210078493302022007803958202300811733300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
899999992REED DENNIS U                 1958010220240101280199600504888519970052126331998005296987199900561205520000057161212001005853808200200576137420030059479542004006052809200500624502620060062952342007006356655200800641176020090066268002010006746635201100681906420120067324692013007044582201400702390820150070504772016007196428201700725171720180075208122019007627525202000772582920210079463032022007849829202300804984600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
144444444JONES ROBERT E                1964090820240103393198500687304219860068448801987007258059198800737571319890071893621990007394140199100770686719920076571911993007760059199400822508819950082123481996008308485199700857251219980087182601999008602158200000870029820010089733962002009106727200300926089120040095045012005009618094200600988165020070096556232008009916480200901002696020100103770832011010262647201201037512020130106172382014010742688201501082042820160109450572017011357001201801129693520190116044432020011613571202101154548420220120700442023012139634000000000000000000000000000000000000000000000000000000000000000000000000000000
611111106CAMPBELL GEORGE U             1964121620240103299199500200135519960021125421997002118291199800218065819990021969722000002186826200100224900820020022912212003002300962200400238692720050024731362006002472715200700247114020080026085592009002611597201000258149920110026829252012002690225201300271886020140027942942015002857531201600285254520170029146162018002985437201900295552820200031044942021003034586202200313106920230031694080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
